cluster,number_of_accidents,average_accident_time,most_common_day
466,18,2022-05-20 17:20:00+00:00,WED
467,1,2021-09-18 00:00:00+00:00,SAT
468,3,2021-06-13 13:20:00+00:00,FRI
469,5,2021-05-07 09:36:00+00:00,WED
470,7,2021-08-26 06:51:25.714285824+00:00,MON
471,1,2021-09-21 00:00:00+00:00,TUE
472,1,2021-09-24 00:00:00+00:00,FRI
473,2,2021-02-23 12:00:00+00:00,WED
474,1,2021-09-18 00:00:00+00:00,SAT
475,38,2021-12-27 17:46:18.947368448+00:00,FRI
476,1,2021-09-30 00:00:00+00:00,THU
477,10,2021-11-22 08:18:54+00:00,WED
478,22,2021-10-10 14:54:46.363636480+00:00,FRI
479,1,2021-10-04 00:00:00+00:00,MON
480,3,2022-01-10 08:00:00+00:00,TUE
481,1,2021-10-07 00:00:00+00:00,THU
482,2,2020-06-21 22:30:00+00:00,SAT
483,4,2022-06-07 15:06:00+00:00,THU
484,1,2021-10-02 00:00:00+00:00,SAT
485,7,2022-02-24 10:17:08.571428608+00:00,TUE
486,3,2022-02-11 11:15:00+00:00,TUE
487,3,2021-02-09 05:01:40+00:00,SUN
488,6,2022-02-04 21:03:20+00:00,SAT
489,9,2022-06-23 04:10:00+00:00,FRI
490,2,2022-04-28 00:00:00+00:00,TUE
491,39,2021-09-26 18:21:13.846153728+00:00,SAT
492,3,2022-10-15 08:00:00+00:00,WED
493,19,2022-01-15 12:16:34.736841984+00:00,THU
494,19,2021-06-24 13:53:41.052631552+00:00,FRI
495,53,2021-05-23 13:54:28.188679168+00:00,MON
496,62,2021-08-28 21:44:22.258064640+00:00,WED
497,1,2021-10-12 23:06:00+00:00,TUE
498,14,2022-05-05 04:19:17.142857216+00:00,THU
499,29,2022-01-14 08:16:33.103448320+00:00,SAT
500,25,2021-11-19 01:40:50.400000+00:00,TUE
501,10,2023-01-02 04:48:00+00:00,WED
502,1,2021-10-14 00:00:00+00:00,THU
503,1,2021-09-15 07:07:00+00:00,WED
504,2,2021-11-28 12:00:00+00:00,THU
505,16,2021-10-26 07:55:48.750000128+00:00,WED
506,1,2021-10-13 00:00:00+00:00,WED
