cluster,num_of_accidents,at_intersection,total_vehicles,avg_vehicles,average_days_ago,avg_accident_time,kmeans_cluster,agglomerative_cluster
305,3,0.6666666666666666,5,1.6666666666666667,642,72900,3,3
306,2,0.5,4,2.0,706,15899,2,2
307,11,0.2727272727272727,21,1.9090909090909087,1014,13561,4,2
308,2,0.0,4,2.0,798,73650,0,1
309,3,0.3333333333333333,5,1.6666666666666667,871,82742,0,3
310,1,0.0,2,2.0,913,66180,0,1
311,1,0.0,0,0.0,909,80700,0,0
312,2,1.0,4,2.0,654,3119,2,2
313,1,0.0,2,2.0,912,17339,4,1
314,1,0.0,1,1.0,915,83761,0,0
315,2,1.0,2,1.0,1016,2459,2,2
316,1,0.0,2,2.0,900,72900,0,1
317,3,0.0,5,1.6666666666666667,773,20723,4,6
318,1,1.0,1,1.0,892,85321,3,3
319,1,0.0,1,1.0,890,71041,0,0
320,3,0.3333333333333333,4,1.3333333333333333,844,64809,0,3
321,1,0.0,1,1.0,898,67500,0,0
322,1,0.0,2,2.0,890,840,4,1
323,34,0.6176470588235294,66,1.9411764705882355,594,10673,6,4
324,3,0.0,7,2.333333333333333,767,7748,5,1
325,2,1.0,3,1.5,498,17549,2,2
326,22,0.7272727272727273,43,1.9545454545454544,620,66560,6,4
327,1,0.0,1,1.0,877,77340,0,0
328,1,0.0,2,2.0,876,6840,4,1
329,4,0.75,5,1.25,406,9399,2,2
330,1,0.0,1,1.0,872,76800,0,0
331,8,0.875,17,2.125,583,83626,3,3
332,11,0.7272727272727273,20,1.818181818181818,687,73639,3,3
333,25,0.72,48,1.92,765,5965,6,4
334,1,0.0,2,2.0,869,8100,4,1
335,3,0.3333333333333333,7,2.333333333333333,947,9709,5,2
336,2,1.0,4,2.0,499,74040,3,3
337,1,0.0,2,2.0,858,79860,0,1
338,2,1.0,4,2.0,459,6029,2,2
339,15,0.9333333333333332,28,1.8666666666666667,833,7185,6,2
340,2,0.5,4,2.0,824,66001,3,3
341,11,0.4545454545454545,19,1.7272727272727273,577,13778,2,2
342,1,0.0,1,1.0,865,7140,4,6
343,33,0.7272727272727273,62,1.878787878787879,631,20997,6,4
344,1,1.0,2,2.0,925,6299,2,2
345,7,0.4285714285714285,10,1.4285714285714286,612,5272,2,2
346,1,0.0,1,1.0,856,12599,4,6
347,16,0.5625,33,2.0625,685,13170,6,2
348,4,0.25,6,1.5,669,9345,4,2
349,15,0.2666666666666666,25,1.6666666666666667,555,9841,6,2
350,2,0.0,3,1.5,1008,77250,0,0
351,8,0.125,11,1.375,697,64971,0,0
352,1,0.0,2,2.0,857,14939,4,1
353,19,0.631578947368421,28,1.4736842105263157,532,86012,6,4
354,1,0.0,2,2.0,840,84660,0,1
355,1,0.0,2,2.0,857,15000,4,1
356,1,0.0,2,2.0,1221,14939,4,1
357,5,0.0,5,1.0,766,72666,0,0
358,1,0.0,1,1.0,852,16140,4,6
359,1,0.0,2,2.0,841,6840,4,1
360,1,0.0,1,1.0,838,82801,0,0
361,27,0.9629629629629628,50,1.851851851851852,761,64861,6,4
362,1,0.0,3,3.0,837,78240,5,1
363,5,0.4,7,1.4,555,74254,0,3
364,2,0.0,2,1.0,587,67620,0,0
365,1,0.0,1,1.0,830,20340,4,6
366,13,0.3846153846153846,27,2.076923076923077,927,14190,6,2
367,5,0.2,6,1.2,611,73597,0,3
368,21,0.7142857142857143,48,2.2857142857142856,692,11541,6,4
369,1,0.0,2,2.0,827,69660,0,1
370,10,0.4,20,2.0,704,4384,2,2
371,5,1.0,8,1.6,817,16617,2,2
372,16,0.5625,27,1.6875,730,14148,6,2
373,10,0.8,19,1.9,740,19076,2,2
374,1,1.0,2,2.0,821,10919,2,2
375,33,0.4848484848484848,68,2.060606060606061,665,3570,6,4
376,2,0.5,4,2.0,820,11969,2,2
377,2,1.0,4,2.0,479,19380,2,2
378,7,0.7142857142857143,12,1.7142857142857142,520,17602,2,2
379,1,0.0,1,1.0,817,21419,4,6
380,1,0.0,2,2.0,816,79200,0,1
381,2,0.5,5,2.5,1075,17850,2,2
382,25,0.84,53,2.12,506,79151,6,4
383,1,0.0,2,2.0,798,10980,4,1
384,7,0.8571428571428571,15,2.142857142857143,586,71645,3,3
385,14,0.5,25,1.7857142857142858,559,21532,6,2
386,1,0.0,1,1.0,809,78240,0,0
387,10,0.6,18,1.8,668,72910,3,3
388,5,0.4,7,1.4,644,11381,4,2
389,16,0.875,31,1.9375,527,7193,6,2
390,3,1.0,6,2.0,580,18759,2,2
391,52,0.5769230769230769,99,1.9038461538461535,627,73653,1,4
392,2,0.5,4,2.0,474,5429,2,2
393,7,0.4285714285714285,12,1.7142857142857142,431,75153,3,3
394,9,0.4444444444444444,20,2.2222222222222223,739,13370,2,2
395,8,0.75,16,2.0,516,7388,2,2
396,1,1.0,2,2.0,760,1199,2,2
397,1,0.0,3,3.0,760,72120,5,1
398,14,0.8571428571428571,25,1.7857142857142858,539,73067,6,3
399,1,1.0,2,2.0,769,8459,2,2
400,3,0.6666666666666666,7,2.333333333333333,486,18982,2,2
401,1,0.0,2,2.0,759,75420,0,1
402,2,1.0,4,2.0,485,67560,3,3
403,4,1.0,8,2.0,1014,77946,3,3
404,1,0.0,1,1.0,765,67620,0,0
405,2,0.5,2,1.0,511,65340,0,3
406,12,0.5833333333333334,23,1.9166666666666667,564,73558,3,3
407,18,0.7222222222222222,35,1.9444444444444444,498,66101,6,4
408,3,0.3333333333333333,6,2.0,839,71700,0,3
409,5,0.8,11,2.2,876,67338,3,3
410,1,0.0,1,1.0,740,78900,0,0
411,1,1.0,1,1.0,737,179,2,2
412,2,0.5,3,1.5,949,3540,4,2
413,1,0.0,1,1.0,743,73800,0,0
414,37,0.5405405405405406,78,2.108108108108108,654,67183,6,4
415,1,1.0,2,2.0,731,15899,2,2
416,10,0.6,19,1.9,677,66390,3,3
417,22,0.7272727272727273,43,1.9545454545454544,720,69577,6,4
418,1,1.0,2,2.0,727,8819,2,2
419,3,1.0,6,2.0,628,5980,2,2
420,1,0.0,2,2.0,724,19919,4,1
421,2,0.5,3,1.5,1196,8189,4,2
422,4,1.0,9,2.25,480,71731,3,3
423,1,0.0,1,1.0,729,84601,0,0
424,7,0.4285714285714285,15,2.142857142857143,583,17663,2,2
425,3,0.6666666666666666,6,2.0,596,13343,2,2
426,6,0.8333333333333334,12,2.0,603,66791,3,3
427,9,0.6666666666666666,17,1.8888888888888888,464,19887,2,2
428,2,0.5,4,2.0,521,12060,2,2
429,39,0.6923076923076923,82,2.102564102564102,734,13663,6,4
430,3,0.0,8,2.6666666666666665,350,3095,5,6
431,20,0.85,40,2.0,630,69381,6,4
432,1,1.0,2,2.0,718,83161,3,3
433,14,0.7857142857142857,23,1.6428571428571428,513,13290,6,2
434,29,0.2413793103448276,34,1.1724137931034482,624,76109,6,4
435,25,0.32,49,1.96,680,19877,6,4
436,10,0.9,22,2.2,271,20880,2,2
437,1,0.0,2,2.0,717,17519,4,1
438,1,1.0,2,2.0,745,68820,3,3
439,2,1.0,4,2.0,671,10199,2,2
440,7,0.2857142857142857,15,2.142857142857143,719,14817,5,2
441,2,0.0,2,1.0,954,18300,4,6
442,9,0.7777777777777778,16,1.7777777777777777,465,67907,3,3
443,30,0.7666666666666667,63,2.1,627,17290,6,4
444,16,0.375,26,1.625,709,67497,6,4
445,1,0.0,2,2.0,706,17099,4,1
446,11,0.7272727272727273,39,3.5454545454545454,691,68544,6,4
447,1,0.0,1,1.0,711,68400,0,0
448,1,1.0,2,2.0,708,5399,2,2
449,9,0.8888888888888888,17,1.8888888888888888,387,13766,2,2
450,17,0.7058823529411765,30,1.7647058823529411,454,75618,6,4
451,1,1.0,0,0.0,715,75061,3,3
452,1,0.0,0,0.0,715,78600,0,0
453,11,0.7272727272727273,19,1.7272727272727273,540,72142,3,3
454,41,0.7560975609756098,91,2.2195121951219514,605,2268,1,4
455,1,1.0,1,1.0,710,67200,3,3
456,1,0.0,3,3.0,704,73801,5,1
457,2,1.0,1,0.5,454,77220,3,3
